127.0.0.1 - - [07/Aug/2016:13:04:56 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/ HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/js/materialize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/css/materialize.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:12 -0700] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:13 -0700] "GET /SalonManagement/font/material-design-icons/Material-Design-Icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:13 -0700] "GET /SalonManagement/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2016:13:05:15 -0700] "GET /favicon.ico HTTP/1.1" 404 973
