127.0.0.1 - - [27/Sep/2016:23:57:10 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:17 +0800] "GET /SalonManagement/ HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:29 +0800] "POST /SalonManagement/login HTTP/1.1" 200 20409
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:31 +0800] "GET /SalonManagement/getImage.action?ImageID=68&type=employee HTTP/1.1" 200 70315
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "GET /SalonManagement/getProductNames HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "GET /SalonManagement/getCategory HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "GET /SalonManagement/getServiceNames HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "POST /SalonManagement/api/v1/getAllLocation HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "GET /SalonManagement/getServiceCategory HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "GET /SalonManagement/getJob HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "POST /SalonManagement/api/v1/getAllOtherCharge HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:33 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "GET /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "GET /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:34 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:35 +0800] "POST /SalonManagement/salesChart HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:36 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:57:36 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:58:00 +0800] "GET /SalonManagement/reservationPage HTTP/1.1" 200 21025
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:58:00 +0800] "GET /SalonManagement/getImage.action?ImageID=68&type=employee HTTP/1.1" 200 70315
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:58:01 +0800] "GET /SalonManagement/getJob HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [27/Sep/2016:23:58:01 +0800] "GET /SalonManagement/getProductNames HTTP/1.1" 200 65
