127.0.0.1 - - [07/Dec/2016:00:59:43 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Dec/2016:00:59:52 +0800] "GET /SalonManagement/ HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:09 +0800] "POST /SalonManagement/login HTTP/1.1" 200 20816
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:10 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 200 52973
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:10 +0800] "GET /SalonManagement/js/ajax/employee-position.js HTTP/1.1" 200 8458
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:10 +0800] "GET /SalonManagement/js/ajax/product-name.js HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:10 +0800] "GET /SalonManagement/js/ajax/service-name.js HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:10 +0800] "GET /SalonManagement/js/ajax/product-category.js HTTP/1.1" 200 8694
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:11 +0800] "GET /SalonManagement/js/ajax/service-category.js HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:11 +0800] "GET /SalonManagement/js/ajax/extracharge.js HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:11 +0800] "GET /SalonManagement/getImage.action?ImageID=105&type=employee HTTP/1.1" 200 120512
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:11 +0800] "GET /SalonManagement/js/ajax/discount.js HTTP/1.1" 200 26386
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:11 +0800] "GET /SalonManagement/js/ajax/discount-create.js HTTP/1.1" 200 4666
